"Organismo","Nome","CAE","Descrição","Setor","Distrito","Concelho","Código
 PME Líder"
"IAPMEI","ABR - Equipamentos Industriais, Lda.",,"Comércio por grosso de máquinas-ferramentas","Comércio","Santarém                                                    ","Alcanena","L23-06896CAM"
"IAPMEI","Abranclinica  - Diagnóstico Médico pela Imagem, Lda.",,"Actividades de prática médica de clínica especializada, em ambulatório","Serviços","Santarém                                                    ","Abrantes","L23-10529BCP"
"TP","Abreu Gouveia & Gouveia - Similares de Hotelaria, Lda.",,"Restaurantes com lugares ao balcão","Turismo","Ilha da Madeira                                             ","Câmara de Lobos","L23-10752BPI"
"IAPMEI","Absolutely Genuine, Unip., Lda.",,"Pesca marítima ","Agricultura e Pescas","Lisboa                                                      ","Lisboa","L23-09101BCP"
"IAPMEI","Absolutus - Audiovisuais e Informática, Lda.",,"Comércio por grosso de electrodomésticos, aparelhos de rádio e de televisão","Comércio","Lisboa                                                      ","Vila Franca de Xira","L23-07433BCP"
"IAPMEI","AC Partners, Lda.",,"Fabricação de outros artigos de plástico, n.e.","Indústria","Leiria                                                      ","Marinha Grande","L23-11019BCP"
"IAPMEI","Acácias Supermercados, Unip., Lda.",,"Comércio a retalho em supermercados e hipermercados","Comércio","Braga                                                       ","Cabeceiras de Basto","L23-06792BIC"
"IAPMEI","Acácio Macedo Araújo, Lda.",,"Comércio a retalho de electrodomésticos, em estabelecimentos especializados","Comércio","Viana do Castelo                                            ","Ponte de Lima","L23-07561CGD"
"TP","Accstage, Lda.",,"Aluguer de veículos automóveis ligeiros","Turismo","Bragança                                                    ","Mirandela","L23-11445NB "
"IAPMEI","Acerplas - Tubos e Perfis Técnicos, Lda.",,"Fabricação de chapas, folhas, tubos e perfis de plástico","Indústria","Santarém                                                    ","Torres Novas","L23-02679BIC"
"IAPMEI","Achemarhen - Lisbonne - Comércio de Pronto-a-Vestir, Unip., Lda.",,"Comércio a retalho de vestuário para adultos, em estabelecimentos especializados","Comércio","Setúbal                                                     ","Alcochete","L23-11451BCP"
"IAPMEI","Acin - Icloud Solutions, Lda.",,"Actividades de programação informática","Serviços","Ilha da Madeira                                             ","Ribeira Brava","L23-06551CGD"
"IAPMEI","Açometais - Central do Norte, S.A.",,"Comércio por grosso de minérios e de metais","Comércio","Porto                                                       ","Maia","L23-01258BIC"
"IAPMEI","Açorlimpa - Higiene e Limpeza, Lda.",,"Actividades de limpeza geral em edifícios","Serviços","Ilha de São Miguel","Ponta Delgada","L23-06693BCP"
"TP","Açorsonho - Hotéis, Lda.",,"Hotéis com restaurante","Turismo","Ilha de São Miguel","Ponta Delgada","L23-11200BPI"
"IAPMEI","Actionelectric, Lda.",,"Fabricação de material de distribuição e controlo para instalações eléctricas de baixa tensão","Indústria","Porto                                                       ","Marco de Canaveses","L23-04698BCP"
"IAPMEI","ActOne, S.A.",,"Outras actividades de consultoria para os negócios e a gestão","Serviços","Lisboa                                                      ","Amadora","L23-05872BST"
"IAPMEI","Actuasys, Lda.",,"Fabricação de computadores e de equipamento periférico","Indústria","Porto                                                       ","Maia","L23-07576BCP"
"IAPMEI","Acuña Y Fombona Portugal",,"Comércio por grosso de produtos farmacêuticos","Comércio","Lisboa                                                      ","Cascais","L23-07115CGD"
"IAPMEI","Acvfarmáciafradelos, Unip., Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Braga                                                       ","Vila Nova de Famalicão","L23-05314BCP"
"IAPMEI","Ada Fios, S.A.",,"Tecelagem de fio do tipo algodão","Indústria","Porto                                                       ","Felgueiras","L23-00733BCP"
"IAPMEI","Addo Pharm, S.A.",,"Actividades  combinadas de serviços administrativos","Serviços","Lisboa                                                      ","Sintra","L23-06430BCP"
"IAPMEI","AddVolt, S.A.",,"Fabricação de equipamento eléctrico e electrónico para veículos automóveis","Indústria","Porto                                                       ","Matosinhos","L23-11018NB "
"IAPMEI","Adega Cooperativa de Azueira, CRL",,"Produção de vinhos comuns e licorosos ","Indústria","Lisboa                                                      ","Mafra","L23-10514CGD"
"IAPMEI","Adega Cooperativa do Cartaxo, CRL",,"Produção de vinhos comuns e licorosos ","Indústria","Santarém                                                    ","Cartaxo","L23-10606CGD"
"IAPMEI","Adega Cooperativa Regional de Monção, CRL",,"Produção de vinhos comuns e licorosos ","Indústria","Viana do Castelo                                            ","Monção","L23-09828NB "
"TP","Adega Restaurante de Victor & Paulo, Lda.",,"Restaurantes típicos","Turismo","Braga                                                       ","Fafe","L23-11636BCP"
"IAPMEI","Adelino & Teixeira, Lda.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Viseu                                                       ","Castro Daire","L23-08097BCP"
"IAPMEI","Adercereal - Transformação e Comércio de Cereais, Lda.",,"Comércio por grosso de cereais, sementes, leguminosas, oleaginosas e outras matérias-primas agrícolas","Comércio","Santarém                                                    ","Ourém","L23-04846BPI"
"TP","Adérito & Costa, L.da",,"Cafés","Turismo","Braga                                                       ","Braga","L23-03484CGD"
"IAPMEI","Adopthouse, Unip., Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Braga                                                       ","Vila Nova de Famalicão","L23-00899CGD"
"IAPMEI","Adornar Ideias, Lda.",,"Comércio a retalho em  outros estabelecimentos não especializados, sem predominância de produtos alimentares, bebidas ou tabaco","Comércio","Lisboa                                                      ","Lisboa","L23-08598BCP"
"IAPMEI","Adress House, Lda.",,"Actividades de mediação imobiliária","Serviços","Porto                                                       ","Porto","L23-07101CGD"
"IAPMEI","Adriano Bandeira, Lda.",,"Outro comércio por grosso de bens de consumo, n.e.","Comércio","Leiria                                                      ","Alcobaça","L23-10587BCP"
"IAPMEI","Adriano Barbosa de Azevedo, Lda.",,"Transportes rodoviários de mercadorias","Transportes","Coimbra                                                     ","Montemor-o-Velho","L23-01990BCP"
"IAPMEI","Aeconsult - Actividades de Engenharia, Lda.",,"Comércio a retalho de computadores, unidades periféricas e programas informáticos, em estabelecimentos especializados","Comércio","Porto                                                       ","Vila Nova de Gaia","L23-03741BPI"
"IAPMEI","Aerohélice - Sociedade de Manutenção e Revisão Geral de Hélices, Lda.",,"Reparação e manutenção de aeronaves e de veículos espaciais","Indústria","Lisboa                                                      ","Arruda dos Vinhos","L23-01977BPI"
"IAPMEI","AES - Arquitetura, Engenharia e Serviços, Lda.",,"Actividades de arquitectura","Serviços","Setúbal                                                     ","Seixal","L23-11734CGD"
"IAPMEI","Afaplan - Planeamento e Gestão de Projectos, S.A.",,"Actividades de engenharia e técnicas afins","Serviços","Porto                                                       ","Vila Nova de Gaia","L23-03298BCP"
"IAPMEI","Aflex Portugal - Indústria de Borracha, Lda.",,"Fabricação de outros produtos de borracha, n.e.","Indústria","Viana do Castelo                                            ","Melgaço","L23-09040BPI"
"IAPMEI","Afonso da Costa Rebelo, Unip., Lda.",,"Fabricação de portas, janelas e elementos similares em metal","Indústria","Braga                                                       ","Vila Nova de Famalicão","L23-08508BCP"
"IAPMEI","Afonso e Bento - Engenharia e Construção, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Faro                                                        ","Olhão","L23-09011BST"
"IAPMEI","Afonso Pinto de Oliveira - Despachante Oficial, Lda.",,"Agentes aduaneiros e similares de apoio ao transporte","Transportes","Porto                                                       ","Matosinhos","L23-09961BPI"
"IAPMEI","Afonso Santos Ferreira, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Viseu                                                       ","Sátão","L23-04889NB "
"IAPMEI","Agência Marítima Euronave (Porto), Lda.",,"Organização do transporte","Transportes","Porto                                                       ","Matosinhos","L23-08475BCP"
"IAPMEI","Agespad, Lda.",,"Outras actividades de consultoria para os negócios e a gestão","Serviços","Braga                                                       ","Barcelos","L23-06164CGD"
"IAPMEI","Agilidade, S.A.",,"Outras actividades de saúde humana, n.e.","Serviços","Lisboa                                                      ","Lisboa","L23-06236CGD"
"IAPMEI","Agomaco - Comercial, S.A.",,"Comércio por grosso de ferragens, ferramentas manuais e artigos para canalizações e aquecimento","Comércio","Braga                                                       ","Barcelos","L23-08278BCP"
"IAPMEI","Agostinho & Sousa, Lda.",,"Comércio por grosso não especializado de produtos alimentares, bebidas e tabaco","Comércio","Castelo Branco                                              ","Covilhã","L23-00934NB "
"IAPMEI","Agostinho da Costa Ribeiro & Filhos, Lda.",,"Extracção de granito ornamental e rochas similares","Indústria","Braga                                                       ","Braga","L23-09649BPI"
"TP","Agostinho Lima & C.ª, Lda.",,"Restaurantes tipo tradicional","Turismo","Porto                                                       ","Porto","L23-01615CGD"
"IAPMEI","Agremor - Materiais de Construção e Serviços, S.A.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Porto                                                       ","Amarante","L23-05430MG "
"IAPMEI","Agresteluz - Instalações Elétricas, Unip., Lda.",,"Instalação eléctrica","Construção e Imobiliário","Faro                                                        ","Faro","L23-05830BCP"
"IAPMEI","Agricert - Certificação de  Produtos Alimentares, Lda.",,"Actividades de ensaios e análises técnicas","Serviços","Portalegre                                                  ","Elvas","L23-10575CAM"
"IAPMEI","Agricortes - Comércio de Máquinas e Equipamentos,  S.A.",,"Comércio por grosso de máquinas e equipamentos, agrícolas","Comércio","Leiria                                                      ","Leiria","L23-01239NB "
"IAPMEI","Agrimoço, Lda.",,"Culturas de produtos hortícolas, raízes e tubérculos","Agricultura e Pescas","Santarém                                                    ","Salvaterra de Magos","L23-05895NB "
"IAPMEI","Agrofontes - Sociedade Comercial de Produtos para a Agricultura, Lda.",,"Comércio por grosso de produtos químicos","Comércio","Aveiro                                                      ","Albergaria-a-Velha","L23-00966NB "
"IAPMEI","Agrogés - Sociedade de Estudos e Projectos, Lda.",,"Outras actividades de consultoria,  científicas, técnicas e similares, n.e.","Serviços","Lisboa                                                      ","Cascais","L23-07762BCP"
"IAPMEI","Agro-Peças Progresso Bejense, Lda.",,"Comércio por grosso de máquinas e equipamentos, agrícolas","Comércio","Beja                                                        ","Beja","L23-01815NB "
"IAPMEI","Agroramoa, Lda.",,"Fabricação de máquinas e de tractores para a agricultura, pecuária e silvicultura","Indústria","Braga                                                       ","Braga","L23-06135BPI"
"IAPMEI","Agro-Vale Longo, Lda.",,"Cerealicultura (excepto arroz)","Agricultura e Pescas","Beja                                                        ","Aljustrel","L23-03718NB "
"IAPMEI","Agrovinal - Produtos para Agricultura, S.A.",,"Comércio a retalho de outros produtos novos, em estabelecimentos especializados, n.e.","Comércio","Santarém                                                    ","Almeirim","L23-03270BPI"
"IAPMEI","Agrozel - Agropecuária do Zêzere, S.A.",,"Avicultura","Agricultura e Pescas","Santarém                                                    ","Ferreira do Zêzere","L23-02448BCP"
"IAPMEI","Águas das Caldas de Penacova, S.A.",,"Engarrafamento de águas minerais naturais e de nascente","Indústria","Coimbra                                                     ","Penacova","L23-02949BPI"
"IAPMEI","Aguiar, Silva Lemos, Consultores, Lda.",,"Outras actividades de consultoria para os negócios e a gestão","Serviços","Lisboa                                                      ","Lisboa","L23-11093BCP"
"IAPMEI","Aguiatrans - Transportes, Unip., Lda.",,"Transportes rodoviários de mercadorias","Transportes","Lisboa                                                      ","Torres Vedras","L23-09000BPI"
"IAPMEI","Aguinox - Fabrico e Comércio de Produtos Inox, Lda.",,"Fabricação de outros reservatórios e recipientes metálicos","Indústria","Aveiro                                                      ","Águeda","L23-04918CGD"
"IAPMEI","Aguitécnica - Assistência Técnica e Comércio de Máquinas, Lda.",,"Outras actividades de serviços de apoio prestados às empresas, n.e.","Serviços","Aveiro                                                      ","Águeda","L23-03105BKI"
"TP","Airauto - Aluguer de Automóveis, Lda.",,"Aluguer de veículos automóveis ligeiros","Turismo","Faro                                                        ","Loulé","L23-02349MG "
"IAPMEI","Albano João & Filhos, Lda.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Aveiro                                                      ","Anadia","L23-10920BCP"
"TP","Albergaria Gato Maia, Lda.",,"Hotéis com restaurante","Turismo","Beja                                                        ","Ferreira do Alentejo","L23-07395CGD"
"IAPMEI","Alberto Moreira Pereira & Filhos, Lda.",,"Comércio a retalho de material de bricolage, equipamento sanitário, ladrilhos e materiais similares, em estabelecimentos especializados","Comércio","Setúbal                                                     ","Setúbal","L23-00525BCP"
"IAPMEI","Alberto Resende Martins, Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Aveiro                                                      ","São João da Madeira","L23-01560BKI"
"IAPMEI","Alberto Santos - Comércio de Ferragens, Lda.",,"Comércio por grosso de ferragens, ferramentas manuais e artigos para canalizações e aquecimento","Comércio","Porto                                                       ","Maia","L23-03293BCP"
"IAPMEI","Alberto Silva Oliveira, Lda.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Aveiro                                                      ","Santa Maria da Feira","L23-02725CGD"
"IAPMEI","Albicalor - Equipamentos para Energias Alternativas, Lda.",,"Fabricação de aparelhos não eléctricos para uso doméstico","Indústria","Aveiro                                                      ","Albergaria-a-Velha","L23-10247CGD"
"IAPMEI","Albicampo - Caravanas, Lda.",,"Comércio de outros veículos automóveis","Comércio","Aveiro                                                      ","Estarreja","L23-07999BCP"
"IAPMEI","Albino Dias de Andrade, S.A.",,"Fabricação de outras preparações e de artigos farmacêuticos","Indústria","Porto                                                       ","Paços de Ferreira","L23-11098NB "
"IAPMEI","Albino Francisco de Sousa, Filhos, S.A.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Aveiro                                                      ","Santa Maria da Feira","L23-01242BPI"
"IAPMEI","Albino Luís, S.A.",,"Construção de estradas e pistas de aeroportos","Construção e Imobiliário","Porto                                                       ","Penafiel","L23-07693CAM"
"IAPMEI","Albino Novais da Venda & Filhos, Lda.",,"Comércio a retalho de electrodomésticos, em estabelecimentos especializados","Comércio","Braga                                                       ","Esposende","L23-02604NB "
"IAPMEI","Albipack - Sistemas e Tecnologias de Embalagem, Lda.",,"Comércio por grosso de outras máquinas e equipamentos","Comércio","Aveiro                                                      ","Águeda","L23-10054BIC"
"IAPMEI","Albombas, Lda.",,"Comércio por grosso de outras máquinas e equipamentos","Comércio","Faro                                                        ","Loulé","L23-02428BCP"
"IAPMEI","Albor - Indústria de Bordados, Lda.",,"Fabricação de bordados ","Indústria","Braga                                                       ","Guimarães","L23-03192CGD"
"IAPMEI","Albuquerque Advogados, SP RL",,"Actividades jurídicas","Serviços","Lisboa                                                      ","Lisboa","L23-10511CGD"
"IAPMEI","Alcanceteoria, Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Braga                                                       ","Braga","L23-01146NB "
"IAPMEI","Alcatifas das Antas Oliveiras, Freire & C.ª, Lda.",,"Revestimento de pavimentos e de paredes","Construção e Imobiliário","Porto                                                       ","Porto","L23-02178BCP"
"IAPMEI","Alcino Caseiro, Lda.",,"Exploração florestal","Agricultura e Pescas","Santarém                                                    ","Sardoal","L23-04397BPI"
"IAPMEI","Alcino Ribeiro Tavares, Lda.",,"Instalação de canalizações","Construção e Imobiliário","Aveiro                                                      ","Santa Maria da Feira","L23-04199CGD"
"IAPMEI","Alcino Rodrigues, Unip., Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Braga                                                       ","Vila Nova de Famalicão","L23-06954NB "
"IAPMEI","Alda Fidalgo - Transportes, Lda.",,"Transportes rodoviários de mercadorias","Transportes","Leiria                                                      ","Porto de Mós","L23-05997CAM"
