"Organismo","Nome","CAE","Descrição","Setor","Distrito","Concelho","Código
 PME Líder"
"TP","Legenda Vaidosa, Lda.",,"Restaurantes tipo tradicional","Turismo","Faro                                                        ","Albufeira","L23-08732BCP"
"IAPMEI","Legendary Motive, Lda.",,"Agências de publicidade","Serviços","Porto                                                       ","Gondomar","L23-00932NB "
"IAPMEI","Leiribruno, Lda.",,"Instalação eléctrica","Construção e Imobiliário","Leiria                                                      ","Leiria","L23-06228BCP"
"IAPMEI","Leiricargo - Transportes de Carga, Lda.",,"Transportes rodoviários de mercadorias","Transportes","Leiria                                                      ","Pombal","L23-01593CGD"
"IAPMEI","Leiridiesel - Comércio e Reparação de Veículos Automóveis, S.A.",,"Manutenção e reparação de veículos automóveis","Comércio","Leiria                                                      ","Leiria","L23-04465CGD"
"IAPMEI","Leirimedição, Unip., Lda.",,"Instalação eléctrica","Construção e Imobiliário","Leiria                                                      ","Leiria","L23-04048BST"
"IAPMEI","Leiriprensa - Comércio e Reparação de Máquinas Industriais, Lda.",,"Comércio por grosso de máquinas para a indústria extractiva, construção e engenharia civil","Comércio","Leiria                                                      ","Batalha","L23-03768BCP"
"IAPMEI","Leiritécnica - Comércio de Ferramentas, Lda.",,"Comércio por grosso de ferragens, ferramentas manuais e artigos para canalizações e aquecimento","Comércio","Leiria                                                      ","Leiria","L23-01832BPI"
"IAPMEI","Leirivida - Cuidados Médicos, Lda.",,"Actividades de prática médica de clínica geral, em ambulatório","Serviços","Leiria                                                      ","Leiria","L23-03501NB "
"IAPMEI","Leiriviga, S.A.",,"Fabricação de produtos de betão para a construção","Indústria","Leiria                                                      ","Leiria","L23-02818CGD"
"TP","Leitão & Leitão, Lda.",,"Restaurantes com lugares ao balcão","Turismo","Lisboa                                                      ","Sintra","L23-03138BST"
"IAPMEI","Leitão & Leitão, Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Viana do Castelo                                            ","Viana do Castelo","L23-06238CGD"
"IAPMEI","Leitão & Mamede - Distribuidores de Produtos Alimentares, Lda.",,"Comércio por grosso de outros produtos alimentares, n.e.","Comércio","Viseu                                                       ","Viseu","L23-08965BST"
"TP","Leitão do Aires, Lda.",,"Restaurantes tipo tradicional","Turismo","Coimbra                                                     ","Penacova","L23-05935CAM"
"IAPMEI","Leme - Arquitectura e Construção, Unip., Lda.",,"Actividades de arquitectura","Serviços","Vila Real                                                   ","Vila Real","L23-08764NB "
"IAPMEI","Lemorau - Serralharia Mecânica, Unip., Lda.",,"Fabricação de outras máquinas diversas para uso específico, n.e.","Indústria","Porto                                                       ","Matosinhos","L23-02407NB "
"IAPMEI","Leonardo Morais Lopes, Lda.",,"Comércio a retalho de material de bricolage, equipamento sanitário, ladrilhos e materiais similares, em estabelecimentos especializados","Comércio","Lisboa                                                      ","Cascais","L23-04144BCP"
"IAPMEI","Leoplan, Lda.",,"Montagem de trabalhos de carpintaria e de caixilharia","Construção e Imobiliário","Setúbal                                                     ","Moita","L23-09430CGD"
"IAPMEI","Letras Modestas, Unip., Lda. (Zona Franca da Madeira)",,"Actividades de limpeza geral em edifícios","Serviços","Ilha da Madeira                                             ","Funchal","L23-00412NB "
"TP","Leve Mania - Restauração, Lda.",,"Restaurantes, n.e. (inclui actividades de restauração em meios móveis)","Turismo","Viseu                                                       ","Viseu","L23-11056CGD"
"IAPMEI","Level 4 - Manutenção Industrial, Unip., Lda.",,"Reparação e  manutenção de máquinas e equipamentos","Indústria","Coimbra                                                     ","Figueira da Foz","L23-11551BST"
"IAPMEI","Lezíria Apotheke, Unip., Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Lisboa                                                      ","Vila Franca de Xira","L23-08319NB "
"IAPMEI","LGG - Trading Company, Unip., Lda.",,"Outras actividades de consultoria para os negócios e a gestão","Serviços","Porto                                                       ","Porto","L23-09583BPI"
"IAPMEI","Libargel - Alimentos Congelados, Lda.",,"Comércio por grosso de outros produtos alimentares, n.e.","Comércio","Braga                                                       ","Barcelos","L23-10791BIC"
"IAPMEI","Licóbidos - Fabrico Artesanal de Licores, Lda.",,"Comércio por grosso de bebidas alcoólicas","Comércio","Leiria                                                      ","Óbidos","L23-03136BST"
"IAPMEI","Líder Frutas - Comércio de Alimentares, Lda.",,"Comércio por grosso de fruta e de produtos hortícolas, excepto batata","Comércio","Ilha de São Miguel","Ponta Delgada","L23-06119CGD"
"IAPMEI","Lidercascos - Fábrica de Estruturas de Madeira, Lda.",,"Fabricação de mobiliário de madeira para outros fins","Indústria","Porto                                                       ","Paços de Ferreira","L23-08811CAM"
"IAPMEI","Lidergraf - Artes Gráficas, S.A.",,"Outra impressão","Indústria","Porto                                                       ","Vila do Conde","L23-03311BPI"
"TP","Liderlucro, Unip., Lda.",,"Restaurantes sem serviço de mesa ","Turismo","Castelo Branco                                              ","Castelo Branco","L23-05966BCP"
"IAPMEI","Liderteoria, Unip., Lda.",,"Actividades de mecânica geral","Indústria","Porto                                                       ","Matosinhos","L23-09801CGD"
"IAPMEI","Lidertráfego - Navegação e Trânsito, Lda.",,"Organização do transporte","Transportes","Ilha de São Miguel","Ponta Delgada","L23-06671NBA"
"IAPMEI","Lidervitamina - Sociedade Farmacêutica, Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Lisboa                                                      ","Cascais","L23-06412BPI"
"IAPMEI","Liftirso, Unip., Lda.",,"Outras instalações em construções","Construção e Imobiliário","Porto                                                       ","Santo Tirso","L23-05588BKI"
"IAPMEI","Ligalote, Lda.",,"Construção de outras obras de engenharia civil, n.e.","Construção e Imobiliário","Braga                                                       ","Braga","L23-06074CGD"
"IAPMEI","Lightenjin II – Indústria de Iluminação, Lda.",,"Fabricação de lâmpadas eléctricas e de outro equipamento de iluminação","Indústria","Aveiro                                                      ","Águeda","L23-09396BCP"
"IAPMEI","Lima & Malheiro - Comércio e Assistência Técnica de Electrodomésticos, Lda.",,"Comércio a retalho de electrodomésticos, em estabelecimentos especializados","Comércio","Viana do Castelo                                            ","Ponte de Lima","L23-06799CGD"
"IAPMEI","Lima & Quental, Lda.",,"Comércio por grosso de bebidas alcoólicas","Comércio","Ilha de São Miguel","Vila Franca do Campo","L23-06605BPI"
"IAPMEI","Lima & Rocha, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Faro                                                        ","Lagos","L23-02410BKI"
"IAPMEI","Lima Vanzeller & Leal, Lda.",,"Fabricação de rolhas de cortiça","Indústria","Aveiro                                                      ","Santa Maria da Feira","L23-10793BCP"
"IAPMEI","Limite do Sonho, Lda.",,"Comércio a retalho de outros produtos novos, em estabelecimentos especializados, n.e.","Comércio","Aveiro                                                      ","Espinho","L23-07652BCP"
"IAPMEI","Limocos - Sociedade Construtora Móveis e Imóveis, Lda.",,"Fabricação de outras obras de carpintaria para a construção","Indústria","Leiria                                                      ","Ansião","L23-07520BCP"
"IAPMEI","Limpária - Recolha e Reciclagem de Resíduos, Lda.",,"Recolha de outros resíduos não perigosos","Indústria","Aveiro                                                      ","Oliveira de Azeméis","L23-03883CGD"
"IAPMEI","Lineve, Lda.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Coimbra                                                     ","Montemor-o-Velho","L23-04145CAM"
"IAPMEI","Linha Exótica, Lda.",,"Confecção de outro vestuário exterior em série","Indústria","Braga                                                       ","Barcelos","L23-06163CAM"
"IAPMEI","Linhas Prateadas, Lda.",,"Instalação eléctrica","Construção e Imobiliário","Porto                                                       ","Penafiel","L23-05526CGD"
"IAPMEI","Linhas Trocadas, Lda.",,"Fabricação de mobiliário de madeira para outros fins","Indústria","Porto                                                       ","Vila Nova de Gaia","L23-08368NB "
"IAPMEI","Linhaway - Acessórios, Veículos e Peças, Lda.",,"Comércio por grosso e a retalho de motociclos, de suas peças e acessórios","Comércio","Lisboa                                                      ","Cascais","L23-07247BCP"
"IAPMEI","Lipimalhas - Malhas e Confecções, S.A.",,"Fabricação de outro vestuário de malha","Indústria","Porto                                                       ","Santo Tirso","L23-04060BST"
"IAPMEI","Lisoaz - Automação e Comercialização de Máquinas Industriais, Lda.",,"Fabricação de outras máquinas-ferramentas, n.e.","Indústria","Aveiro                                                      ","Arouca","L23-02856CGD"
"TP","Listapas - Restaurantes, Unip., Lda.",,"Restaurantes tipo tradicional","Turismo","Lisboa                                                      ","Lisboa","L23-11408BST"
"IAPMEI","Listirpadox, Lda.",,"Transportes rodoviários de mercadorias","Transportes","Porto                                                       ","Vila Nova de Gaia","L23-11270BCP"
"IAPMEI","Litocartão - Cartão Canelado, Lda.",,"Fabricação de papel e de cartão canelados (inclui embalagens)","Indústria","Porto                                                       ","Paredes","L23-03184CGD"
"IAPMEI","Litografis - Artes Gráficas, Lda.",,"Outra impressão","Indústria","Faro                                                        ","Albufeira","L23-09399CGD"
"IAPMEI","Litoprel, S.A.",,"Fabricação de produtos de betão para a construção","Indústria","Leiria                                                      ","Leiria","L23-01652CGD"
"IAPMEI","Litoral Óticas, Lda.",,"Comércio a retalho de material óptico, fotográfico, cinematográfico e de instrumentos de precisão, em estabelecimentos especializados","Comércio","Aveiro                                                      ","Aveiro","L23-06245BIC"
"IAPMEI","Litoral Regas - Comércio e Apoio à Agricultura, Lda.",,"Instalação de máquinas e de equipamentos industriais","Indústria","Coimbra                                                     ","Mira","L23-07676CAM"
"IAPMEI","Lival - Artigos de Embalagem, Lda.",,"Fabricação de papel e de cartão canelados (inclui embalagens)","Indústria","Porto                                                       ","Paredes","L23-03892CGD"
"IAPMEI","Livraria Lello, S.A.",,"Comércio a retalho de livros, em estabelecimentos especializados","Comércio","Porto                                                       ","Porto","L23-03438CGD"
"IAPMEI","LNTD - Lisbon Nearshore, Lda.",,"Actividades de programação informática","Serviços","Lisboa                                                      ","Lisboa","L23-06960BCP"
"IAPMEI","Load Interactive, Unip., Lda.",,"Actividades de programação informática","Serviços","Aveiro                                                      ","Aveiro","L23-08721CGD"
"TP","Lobeira - Restauração e Turismo, Lda. ",,"Restaurantes tipo tradicional","Turismo","Ilha de São Miguel","Povoação","L23-09265NBA"
"IAPMEI","Loginsular - Transporte, Logística e Distribuição, Lda.",,"Transportes rodoviários de mercadorias","Transportes","Ilha da Madeira                                             ","Santa Cruz","L23-06044BST"
"IAPMEI","Logispace - Logística e Transportes, S.A.",,"Transportes rodoviários de mercadorias","Transportes","Leiria                                                      ","Pombal","L23-05836BCP"
"IAPMEI","Logitank Multimodal, Lda.",,"Transportes rodoviários de mercadorias","Transportes","Porto                                                       ","Porto","L23-07686BCP"
"IAPMEI","Loja da Floresta, Lda.",,"Comércio por grosso de máquinas-ferramentas","Comércio","Santarém                                                    ","Ferreira do Zêzere","L23-08067BST"
"IAPMEI","Loja das Ferragens Paulo Valente, Unip., Lda.",,"Comércio a retalho de ferragens e de vidro plano, em estabelecimentos especializados","Comércio","Porto                                                       ","Paredes","L23-06738CGD"
"IAPMEI","Longratex - Fábrica de Confecções, Lda.",,"Confecção de outro vestuário exterior em série","Indústria","Porto                                                       ","Felgueiras","L23-02515BST"
"IAPMEI","Lopes Azevedo & Filhos, Lda.",,"Construção de outras obras de engenharia civil, n.e.","Construção e Imobiliário","Porto                                                       ","Penafiel","L23-02985BST"
"IAPMEI","Lopes Dias & Silva, Lda.",,"Comércio por grosso de outros produtos alimentares, n.e.","Comércio","Faro                                                        ","Loulé","L23-02586NB "
"IAPMEI","Lopes Pereira & Pereira, Lda.",,"Comércio por grosso de carne e produtos à base de carne","Comércio","Porto                                                       ","Maia","L23-07481BCP"
"TP","Lorena Gelados, Lda.",,"Bares","Turismo","Faro                                                        ","Portimão","L23-04196BCP"
"IAPMEI","Loucicentro - Cerâmica de Louça Decorativa, Lda.",,"Fabricação de artigos de uso doméstico de faiança, porcelana e grés fino","Indústria","Leiria                                                      ","Leiria","L23-02907CGD"
"IAPMEI","Louro & Sá - Escavações e Transportes, Lda.",,"Preparação dos locais de construção","Construção e Imobiliário","Leiria                                                      ","Alcobaça","L23-04458CAM"
"IAPMEI","Louro Aeronaves e Serviços - LAS, Lda.",,"Reparação e manutenção de aeronaves e de veículos espaciais","Indústria","Lisboa                                                      ","Loures","L23-09725CGD"
"IAPMEI","Lousalu-Alumínios de Lousada, Lda.",,"Comércio por grosso de minérios e de metais","Comércio","Porto                                                       ","Lousada","L23-09691BCP"
"IAPMEI","Love Pet Alliance, Lda.",,"Agentes especializados do comércio por grosso de outros produtos","Comércio","Porto                                                       ","Vila Nova de Gaia","L23-01078MG "
"IAPMEI","Lovimec - Renovação Urbana e Construções, Unip., Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Porto                                                       ","Amarante","L23-03957BCP"
"IAPMEI","Loviril - Construção Civil, Unip., Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Lisboa                                                      ","Cascais","L23-01127NB "
"IAPMEI","LPM Comunicação, S.A.",,"Outras actividades de consultoria,  científicas, técnicas e similares, n.e.","Serviços","Lisboa                                                      ","Lisboa","L23-02394BPI"
"IAPMEI","LTD - Laboratório Técnico Dentário, Lda.",,"Fabricação de material ortopédico e próteses e de instrumentos médico-cirúrgicos","Indústria","Coimbra                                                     ","Coimbra","L23-09687BCP"
"IAPMEI","Luciano Costa, Lda.",,"Fabricação de cacau e de chocolate ","Indústria","Braga                                                       ","Barcelos","L23-07878BST"
"IAPMEI","Ludevino Tavares António - Moldes de Fundição e Metalúrgica, Lda.",,"Fabricação de moldes metálicos","Indústria","Santarém                                                    ","Entroncamento","L23-04816BCP"
"IAPMEI","Ludiprática, Lda.",,"Reparação e manutenção  de produtos metálicos (excepto máquinas e equipamento)","Indústria","Lisboa                                                      ","Loures","L23-05190NB "
"IAPMEI","Ludsil - Lavandaria ao Domicílio, Lda.",,"Lavagem e limpeza a seco de têxteis e peles","Serviços","Faro                                                        ","Albufeira","L23-07200CGD"
"IAPMEI","Lugar das Jóias - Ourivesaria, Lda.",,"Comércio a retalho de relógios e de artigos de ourivesaria e joalharia, em estabelecimentos especializados","Comércio","Porto                                                       ","Porto","L23-04919BCP"
"IAPMEI","Lugrade - Bacalhau de Coimbra, S.A.",,"Salga, secagem e outras actividades de transformação de produtos da pesca e aquicultura","Indústria","Coimbra                                                     ","Coimbra","L23-01032NB "
"IAPMEI","Luipex-Indústria de Malhas e Confecções, Lda.",,"Confecção de outros artigos e acessórios de vestuário","Indústria","Braga                                                       ","Guimarães","L23-03307BCP"
"IAPMEI","Luís & Brás - Construção Civil, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Ilha da Madeira                                             ","Calheta (Madeira)","L23-08639NB "
"IAPMEI","Luís & Paulo Emerenciano, Lda.",,"Comércio por grosso de madeira em bruto e de produtos derivados","Comércio","Évora                                                       ","Vendas Novas","L23-04075CGD"
"IAPMEI","Luís Alvim Pinheiro Belchior",,"Notários","Serviços","Lisboa                                                      ","Cascais","L23-10869CGD"
"TP","Luís Augusto Fernandes da Silva, Soc. Unip. Lda.",,"Restaurantes tipo tradicional","Turismo","Santarém                                                    ","Ourém","L23-11114BCP"
"IAPMEI","Luís Brito - Têxteis, S.A.",,"Confecção de outro vestuário exterior em série","Indústria","Viana do Castelo                                            ","Viana do Castelo","L23-10604BST"
"IAPMEI","Luís Costa & Nuno Costa, Lda.",,"Demolição","Construção e Imobiliário","Beja                                                        ","Moura","L23-08253CAM"
"IAPMEI","Luís de Sousa Gago & Filhos, Lda.",,"Comércio por grosso de madeira em bruto e de produtos derivados","Comércio","Leiria                                                      ","Leiria","L23-01881CGD"
"IAPMEI","Luís Lagartixa & Anabela Silva - Supermercados, Lda.",,"Comércio a retalho em supermercados e hipermercados","Comércio","Évora                                                       ","Vendas Novas","L23-06751CGD"
"IAPMEI","Luís Leal & Filhos, S.A.",,"Fabricação de produtos à base de carne","Indústria","Santarém                                                    ","Torres Novas","L23-03092CGD"
"IAPMEI","Luís Lourenço - Sociedade Agrícola, Unip., Lda.",,"Comércio por grosso de fruta e de produtos hortícolas, excepto batata","Comércio","Lisboa                                                      ","Lourinhã","L23-05251NB "
"TP","Luís Manuel Camarada Rodrigues",,"Restaurantes tipo tradicional","Turismo","Faro                                                        ","Vila Real de Santo António","L23-11344CAM"
"IAPMEI","Luís Manuel da Silva, Lda.",,"Comércio por grosso não especializado","Comércio","Setúbal                                                     ","Sines","L23-09250BCP"
"IAPMEI","Luís Meias Ferreira & Filho, Lda.",,"Instalação eléctrica","Construção e Imobiliário","Setúbal                                                     ","Setúbal","L23-09109BST"
"TP","Luís Miguel Pereira Nogueira Santo",,"Outros estabelecimentos hoteleiros sem restaurante","Turismo","Santarém                                                    ","Rio Maior","L23-11648CGD"
"IAPMEI","Luís Negócio, Unip., Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Faro                                                        ","Loulé","L23-09522BCP"
"IAPMEI","Luís Pato, Unip., Lda.",,"Viticultura","Agricultura e Pescas","Aveiro                                                      ","Anadia","L23-00602MG "
"IAPMEI","Luís Pedro Marques, Unip., Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Porto                                                       ","Porto","L23-08743NB "
"IAPMEI","Luís Rodrigues & Teixeira, S.A.",,"Fabricação de bordados ","Indústria","Braga                                                       ","Guimarães","L23-02283BCP"
"IAPMEI","Luís Sabbo - Frutas do Algarve, Lda.",,"Cultura de outros frutos em árvores e arbustos","Agricultura e Pescas","Faro                                                        ","Faro","L23-05604CGD"
"IAPMEI","Luís Urbano, Unip., Lda.",,"Fabricação de portas, janelas e elementos similares em metal","Indústria","Faro                                                        ","Loulé","L23-09167BST"
"IAPMEI","Luísa Paula Calado - Comércio de Frutas, Lda.",,"Comércio por grosso de fruta e de produtos hortícolas, excepto batata","Comércio","Faro                                                        ","Albufeira","L23-09523CAM"
"IAPMEI","Lumapeças - Importação de Veículos, Máquinas e Peças, Lda.",,"Desmantelamento de veículos automóveis, em fim de vida","Indústria","Leiria                                                      ","Pombal","L23-09968NB "
"IAPMEI","Lumarca, S.A.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Aveiro                                                      ","Águeda","L23-07197NB "
"IAPMEI","Lupami - Construções, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Faro                                                        ","Tavira","L23-06017BCP"
"IAPMEI","Lusamar - Construções Mecânicas, Lda.",,"Fabricação de outras máquinas diversas para uso específico, n.e.","Indústria","Lisboa                                                      ","Mafra","L23-02936BST"
"IAPMEI","Lusedividro - Vidros e Alumínios, Lda.",,"MoLda.gem e transformação de vidro plano","Indústria","Lisboa                                                      ","Cascais","L23-03176BCP"
"IAPMEI","Lusiadagas - Montagem e Abastecimento de Redes de Gás, S.A.",,"Comércio por grosso de produtos petrolíferos","Comércio","Faro                                                        ","Silves","L23-04875CGD"
"IAPMEI","Lusiflama -  Clínicas, Lda.",,"Institutos de beleza","Serviços","Lisboa                                                      ","Lisboa","L23-11461BCP"
"IAPMEI","Lusil - Alumínios e Ferragens, Lda.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Porto                                                       ","Vila Nova de Gaia","L23-02198BCP"
"IAPMEI","Lusis - Equipamentos e Serviços, Lda.",,"Comércio por grosso de  equipamentos  electrónicos,  de telecomunicações e suas partes","Comércio","Lisboa                                                      ","Lisboa","L23-07700BCP"
"IAPMEI","Lusitana Face - Estruturas Metálicas, Coberturas e Fachadas, Lda.",,"Fabricação de estruturas de construções metálicas","Indústria","Aveiro                                                      ","Anadia","L23-11774BCP"
"IAPMEI","Lusitânia Soluções, Lda.",,"Comércio a retalho de produtos médicos e ortopédicos, em estabelecimentos especializados","Comércio","Porto                                                       ","Porto","L23-10105BST"
"IAPMEI","Luso Cuanza - Sociedade de Importação e Exportação, Lda.",,"Comércio a retalho de computadores, unidades periféricas e programas informáticos, em estabelecimentos especializados","Comércio","Lisboa                                                      ","Lisboa","L23-02902CGD"
"IAPMEI","Lusobatata - Produtos IV Gama, Lda.",,"Comércio por grosso de batata","Comércio","Lisboa                                                      ","Mafra","L23-03602CGD"
"IAPMEI","Lusocake Mix - Produtos para Indústria Alimentar, S.A.",,"Fabricação de fermentos, leveduras e adjuvantes para panificação e pastelaria","Indústria","Vila Real                                                   ","Chaves","L23-06386CGD"
"IAPMEI","Lusocal - Artigos para Calçado, S.A.",,"Fabricação de componentes para calçado","Indústria","Aveiro                                                      ","Santa Maria da Feira","L23-02525BPI"
"IAPMEI","Lusoclima - Soluções de Engenharia, S.A.",,"Actividades de engenharia e técnicas afins","Serviços","Porto                                                       ","Gondomar","L23-08186BPI"
"IAPMEI","Lusoforma - Indústria e Comércio de Embalagens, S.A.",,"Fabricação de embalagens metálicas ligeiras","Indústria","Lisboa                                                      ","Sintra","L23-02521BPI"
"IAPMEI","Lusonave - Bobinagem e Electromecânica Industrial e Naval, Lda.",,"Reparação e manutenção de equipamento eléctrico","Indústria","Setúbal                                                     ","Seixal","L23-03001BCP"
"IAPMEI","Lusoracks, Lda.",,"Instalação de máquinas e de equipamentos industriais","Indústria","Porto                                                       ","Paredes","L23-06070CGD"
"IAPMEI","Lusostone, Unip., Lda.",,"Fabricação de artigos de granito e de rochas, n.e.","Indústria","Viseu                                                       ","Sátão","L23-06824CGD"
"IAPMEI","Lusowood, Lda.",,"Serração de madeira","Indústria","Aveiro                                                      ","Castelo de Paiva","L23-01001NB "
"IAPMEI","Luvifal - Sociedade de Construções, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Santarém                                                    ","Ourém","L23-07383BCP"
"TP","Lux Stay, Lda.",,"Alojamento mobilado para turistas","Turismo","Lisboa                                                      ","Lisboa","L23-10328CGD"
"IAPMEI","Luz e Som - Electrónica, Lda.",,"Comércio a retalho de equipamento audiovisual, em estabelecimentos especializados","Comércio","Porto                                                       ","Matosinhos","L23-07317BCP"
"IAPMEI","LVM - Formação e Comércio de Produtos para Cabeleireiro, Lda.",,"Comércio por grosso de perfumes e de produtos de higiene","Comércio","Porto                                                       ","Maia","L23-08869BPI"
"IAPMEI","M Look Confecções, Lda.",,"Confecção de outro vestuário exterior em série","Indústria","Braga                                                       ","Fafe","L23-04604BCP"
"IAPMEI","M. António Silva, Lda.",,"Obtenção e primeira transformação de cobre","Indústria","Porto                                                       ","Trofa","L23-01019NB "
"IAPMEI","M. Cardoso Correia & Filhos, Lda.",,"Serração de madeira","Indústria","Coimbra                                                     ","Cantanhede","L23-01515CAM"
"IAPMEI","M. Freitas, Unip., Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Leiria                                                      ","CaLda.s da Rainha","L23-06205BST"
"IAPMEI","M. Martins & Martins, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Braga                                                       ","Fafe","L23-04030BCP"
"IAPMEI","M. Nunes - Projectos e Instalações Eléctricas, S.A.",,"Instalação eléctrica","Construção e Imobiliário","Lisboa                                                      ","Loures","L23-02724BCP"
"IAPMEI","M. Rocha & J. Serra - Metalúrgica, Lda.",,"Fabricação de outros produtos metálicos diversos,  n.e.","Indústria","Braga                                                       ","Esposende","L23-04590BCP"
"IAPMEI","M. Silva, Seabra & C.ª, Lda.",,"Fabricação de outros produtos metálicos diversos,  n.e.","Indústria","Aveiro                                                      ","Castelo de Paiva","L23-08525CGD"
"IAPMEI","M.A. Lopes d'Avó, Lda.",,"Fabricação de tijolos","Indústria","Santarém                                                    ","Santarém","L23-01685CAM"
"IAPMEI","M.A.E. - Peças para Automóveis, Lda.",,"Comércio a retalho de peças e acessórios para veículos automóveis","Comércio","Santarém                                                    ","Ourém","L23-03549NB "
"IAPMEI","M.C. Faria - Transportes e Comércio, Unip., Lda.",,"Transportes rodoviários de mercadorias","Transportes","Braga                                                       ","Barcelos","L23-05606CGD"
"IAPMEI","M.F. Martins, S.A.",,"Comércio por grosso de ferragens, ferramentas manuais e artigos para canalizações e aquecimento","Comércio","Porto                                                       ","Vila Nova de Gaia","L23-01905BKI"
"IAPMEI","M.F. Pinto - Importação e Exportação de Peças Automóveis , S.A.",,"Comércio por grosso de peças e acessórios para veículos automóveis","Comércio","Lisboa                                                      ","Sintra","L23-05023BPI"
"IAPMEI","M.M. & P. - Comércio e Transformação de Vidro, Lda.",,"MoLda.gem e transformação de vidro plano","Indústria","Castelo Branco                                              ","Covilhã","L23-00985NB "
"IAPMEI","M.P.X., Unip., Lda.",,"Fabricação de componentes para calçado","Indústria","Aveiro                                                      ","Oliveira de Azeméis","L23-11065NB "
"IAPMEI","M.S.Global - Empresa de Trabalho Temporário, Unip., Lda.",,"Actividades das empresas de trabalho temporário","Serviços","Faro                                                        ","Faro","L23-09413BCP"
"IAPMEI","M.T. Brandão, Lda.",,"Comércio por grosso de outras máquinas e equipamentos","Comércio","Porto                                                       ","Porto","L23-02263BCP"
"IAPMEI","Macambi - Madeiras, Carpintaria e Móveis da Beira Interior, Lda.",,"Fabricação de mobiliário de cozinha","Indústria","Castelo Branco                                              ","Fundão","L23-03049BPI"
"IAPMEI","Macedo & Covelo, Lda.",,"MoLda.gem e transformação de vidro plano","Indústria","Vila Real                                                   ","Vila Real","L23-08095BCP"
"TP","Macedos - Pirotecnia, Lda.",,"Outras actividades de diversão e recreativas, n.e.","Turismo","Porto                                                       ","Felgueiras","L23-04031BCP"
"TP","Machado Macedo Teixeira, Lda. ",,"Restaurantes tipo tradicional","Turismo","Porto                                                       ","Póvoa de Varzim","L23-01213NB "
"IAPMEI","Machado Pinto & C.ª, Lda.",,"Confecção de vestuário interior","Indústria","Braga                                                       ","Guimarães","L23-07171NB "
"IAPMEI","Macolis - Materiais de Construção e Climatização, S.A.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Leiria                                                      ","Leiria","L23-01947CGD"
"IAPMEI","Macorima - Materiais de Construção da Ranha, Lda.",,"Comércio a retalho de material de bricolage, equipamento sanitário, ladrilhos e materiais similares, em estabelecimentos especializados","Comércio","Leiria                                                      ","Pombal","L23-02676BST"
"IAPMEI","Macovex - Materiais de Construção, S.A.",,"Comércio a retalho de material de bricolage, equipamento sanitário, ladrilhos e materiais similares, em estabelecimentos especializados","Comércio","Viseu                                                       ","Viseu","L23-02018BST"
"IAPMEI","Macrofal - Comércio de Gessos e Materiais para Construção, Lda.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Santarém                                                    ","Santarém","L23-00880BCP"
"IAPMEI","Mad.Intax - Madeira Advice For International Structuring, Lda.",,"Actividades de contabilidade e auditoria;  consultoria fiscal","Serviços","Ilha da Madeira                                             ","Funchal","L23-01187NB "
"IAPMEI","Madeibranca- Comércio de Derivados de Madeira, Lda.",,"Comércio por grosso de madeira em bruto e de produtos derivados","Comércio","Aveiro                                                      ","Albergaria-a-Velha","L23-03027NB "
"IAPMEI","Madeicampo - Exploração Florestal, Lda.",,"Exploração florestal","Agricultura e Pescas","Porto                                                       ","Valongo","L23-04194CGD"
"IAPMEI","Madeifátima - Madeiras, Lda.",,"Serração de madeira","Indústria","Santarém                                                    ","Ourém","L23-02325NB "
"IAPMEI","Madeipal - Comércio de Paletes, Lda.",,"Fabricação de embalagens de madeira","Indústria","Porto                                                       ","Maia","L23-00418CGD"
"IAPMEI","Madeira Cartão - Sociedade de Triagem, Lda.",,"Valorização de resíduos metálicos","Indústria","Ilha da Madeira                                             ","Machico","L23-06591BCP"
"IAPMEI","Madeiralto - Madeiras do Alto, Lda.",,"Serração de madeira","Indústria","Guarda                                                      ","Guarda","L23-01363BCP"
